primaryTitle;startYear;rtRating
The Kid;1921;100%
The Doll;1919;
Robin Hood;1922;100%
The Parson's Widow;1920;
Three Ages;1923;100%
The Last Laugh;1924;100%
Destiny;1921;
The Navigator;1924;100%
Peter Pan;1924;100%
The Gold Rush;1925;100%
The Faithful Heart;1923;
The Saga of Gosta Berling;1924;
7th Heaven;1927;100%
The Student Prince in Old Heidelberg;1927;100%
The Pilgrim;1923;
The Unknown;1927;100%
Why Worry?;1923;
Girl Shy;1924;
The Cameraman;1928;100%
Speedy;1928;100%
Queen Kelly;1932;100%
Strike;1925;
The Story of the Fox;1937;100%
La Chienne;1931;100%
Frankenstein;1931;100%
M;1931;100%
Marius;1931;100%
The Little Colonel;1935;
Street Scene;1931;100%
The Wizard of Oz;1925;
A Nous la Liberte;1931;100%
I Was Born, But...;1932;100%
Employees' Entrance;1933;100%
A Page of Madness;1926;
By the Law;1926;
The Scarlet Letter;1926;
3 Bad Men;1926;
L'Atalante;1934;100%
Happiness;1935;
March of the Wooden Soldiers;1934;100%
The End of St. Petersburg;1927;
Little Miss Marker;1934;100%
Toni;1935;100%
The Whole Town's Talking;1935;100%
The Crime of Monsieur Lange;1936;100%
Fury;1936;100%
Osaka Elegy;1936;100%
Beggars of Life;1928;
The Petrified Forest;1936;100%
Show Boat;1936;100%
Easy Living;1937;100%
Make Way for Tomorrow;1937;100%
The Prisoner of Zenda;1937;100%
Way Out West;1937;100%
Street Angel;1928;
Asphalt;1929;
The Baker's Wife;1938;100%
Holiday;1938;100%
Lucky Star;1929;
The Adventures of Sherlock Holmes;1939;100%
Beau Geste;1939;100%
Escape from Dartmoor;1929;
Dodge City;1939;100%
The Four Feathers;1939;100%
In Name Only;1939;100%
Only Angels Have Wings;1939;100%
The Roaring Twenties;1939;100%
Stagecoach;1939;100%
Young Mr. Lincoln;1939;100%
I Love You Again;1940;100%
The Letter;1940;100%
The Philadelphia Story;1940;100%
Tokyo Chorus;1931;
Waterloo Bridge;1931;
Pinocchio;1940;100%
American Madness;1932;
Wooden Crosses;1932;
The Dark Horse;1932;
Pride and Prejudice;1940;100%
Remember the Night;1940;100%
The Shop Around the Corner;1940;100%
The Thief of Bagdad;1940;100%
The Westerner;1940;100%
Ball of Fire;1941;100%
All That Money Can Buy;1941;100%
The Devil and Miss Jones;1941;100%
A Song of Lisbon;1933;
Hold Back the Dawn;1941;100%
Passing Fancy;1933;
Bogus Bandits;1933;
