imdb_id;original_language;popularity;revenue;runtime;vote_average;vote_count;genres;continent;action;adventure;animation;comedy;crime;documentary;drama;family;fantasy;history;horror;music;mystery;romance;science_fiction;tv_movie;thriller;war;western
tt0009369;en;2.337;8000000.0;71.0;6.7;13.0;['Comedy', 'Drama'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0010600;de;4.304;0.0;66.0;7.3;60.0;['Comedy', 'Fantasy'];Europe;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
tt0011439;en;4.77;0.0;90.0;7.3;42.0;['Western', 'Adventure', 'Drama', 'Action', 'Romance'];Americas;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
tt0011607;sv;2.129;0.0;94.0;7.5;30.0;['Comedy', 'Drama'];Europe;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0011841;en;7.764;4500000.0;145.0;7.0;70.0;['Drama', 'Action', 'Romance'];Americas;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0012349;en;14.972;2500000.0;53.0;8.2;1535.0;['Comedy', 'Drama'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0012494;de;7.656;0.0;105.0;7.5;106.0;['Drama', 'Fantasy', 'Thriller'];Europe;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0
tt0012532;en;8.308;0.0;150.0;7.0;59.0;['Drama', 'History', 'Romance'];Americas;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
tt0013257;sv;13.036;0.0;105.0;7.6;243.0;['Documentary', 'Horror', 'History'];Europe;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
tt0013556;en;3.704;0.0;133.0;6.3;36.0;['Drama', 'Action', 'Romance'];Americas;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0013933;fr;2.723;0.0;87.0;7.2;42.0;['Drama', 'Romance'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0014109;sv;3.004;0.0;183.0;6.6;21.0;['Drama', 'Romance'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0014142;en;7.912;0.0;113.0;6.5;76.0;['Romance', 'Drama', 'Horror'];Americas;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
tt0014341;en;9.07;0.0;73.0;7.5;186.0;['Comedy', 'Romance', 'Western'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
tt0014358;en;8.302;0.0;47.0;6.8;92.0;['Comedy'];Americas;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tt0014538;en;8.296;0.0;64.0;7.0;77.0;['Drama', 'Comedy'];Americas;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0014611;en;2.757;0.0;60.0;6.7;26.0;['Adventure', 'Comedy', 'Romance'];Americas;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
