movie;director
tt0003740;nm0665163
tt0008663;nm0803705
tt0009369;nm0428059
tt0009369;nm0949648
tt0010307;nm0304098
tt0010600;nm0523932
tt0011439;nm0629243
tt0011607;nm0003433
tt0011841;nm0000428
tt0012349;nm0000122
tt0012494;nm0000485
tt0012532;nm0000428
tt0013257;nm0159725
tt0013556;nm0245385
tt0013933;nm0258477
tt0014109;nm0830249
tt0014142;nm0941637
tt0014341;nm0090007
tt0014341;nm0000036
tt0014358;nm0000122
tt0014429;nm0628345
tt0014429;nm0853130
tt0014538;nm0000036
tt0014538;nm0166836
tt0014611;nm0628345
tt0014611;nm0853130
tt0014945;nm0853130
tt0014945;nm0628345
tt0014972;nm0803705
tt0015016;nm0000406
tt0015064;nm0003638
tt0015163;nm0187981
tt0015163;nm0000036
tt0015174;nm0000485
tt0015175;nm0000485
tt0015214;nm0163229
tt0015224;nm0107543
tt0015361;nm0001178
tt0015400;nm0909825
tt0015841;nm0628345
tt0015841;nm0853130
tt0015842;nm0655065
tt0015863;nm0000036
tt0015864;nm0000122
tt0015881;nm0002233
tt0016029;nm0124877
tt0016220;nm0432216
tt0016220;nm0151606
tt0016220;nm0480677
tt0016220;nm0781292
tt0016332;nm0000036
tt0016481;nm0243295
tt0016544;nm0783865
tt0016630;nm0000036
tt0016641;nm0629243
tt0016641;nm0102643
tt0016641;nm0127511
tt0016641;nm0169905
tt0016641;nm0002271
tt0016847;nm0003638
tt0017048;nm0455938
tt0017136;nm0000485
tt0017271;nm0474487
tt0017350;nm0803705
tt0017463;nm0000406
tt0017925;nm0115669
tt0017925;nm0000036
tt0017961;nm0575963
tt0018054;nm0001124
tt0018066;nm0699877
tt0018066;nm0231151
tt0018192;nm0304098
tt0018379;nm0097648
tt0018451;nm0523932
tt0018451;nm0821472
tt0018526;nm0903049
tt0018526;nm0744504
tt0018528;nm0115218
tt0018578;nm0195496
tt0018578;nm0920074
tt0018684;nm0920074
tt0018737;nm0655065
tt0018742;nm0000036
tt0018742;nm0781292
tt0018773;nm0000122
tt0018806;nm0896542
tt0018839;nm0903049
tt0018876;nm0000033
tt0019074;nm0107543
tt0019109;nm0270838
tt0019379;nm0896542
tt0019412;nm0928514
tt0019421;nm0718469
tt0019421;nm0000036
tt0019429;nm0097648
tt0019655;nm0562004
tt0019788;nm0853130
tt0019901;nm0000485
tt0020018;nm0191899
tt0020122;nm0097648
tt0020298;nm0002233
tt0020298;nm0092915
tt0020768;nm0003638
tt0020793;nm0002190
tt0021015;nm0000033
tt0021309;nm0823089
tt0021309;nm0823088
tt0021409;nm0163229
tt0021730;nm0896542
tt0021739;nm0719756
tt0021884;nm0001843
tt0022074;nm0523932
tt0022080;nm0670643
tt0022100;nm0000485
tt0022125;nm0466099
tt0022150;nm0163229
tt0022153;nm0001008
tt0022395;nm0000033
tt0022436;nm0896542
tt0022458;nm0003638
tt0022485;nm0654868
tt0022550;nm0001843
tt0022599;nm0163229
tt0022626;nm0001008
tt0022626;nm0245385
tt0022626;nm0624756
tt0022787;nm0076368
tt0022802;nm0337586
tt0022913;nm0115218
tt0023241;nm0115669
tt0023241;nm0516001
tt0023293;nm0001843
tt0023303;nm0002030
tt0023303;nm0523932
tt0023395;nm0000033
tt0023622;nm0523932
tt0023634;nm0654868
tt0023649;nm0003433
tt0023686;nm0002030
tt0023775;nm0337586
tt0023871;nm0183018
tt0023876;nm0515979
tt0023937;nm0654868
tt0023940;nm0523932
tt0023943;nm0736778
tt0023943;nm0730018
tt0023969;nm0564970
tt0023973;nm0908234
tt0023973;nm0500552
tt0023986;nm0215877
tt0024028;nm0045800
tt0024127;nm0826094
tt0024183;nm0840042
tt0024184;nm0001843
tt0024188;nm0448915
tt0024216;nm0774325
tt0024216;nm0178260
tt0024240;nm0001008
tt0024264;nm0002030
tt0024481;nm0541149
tt0024593;nm0774325
tt0024617;nm0731596
tt0024844;nm0897118
tt0024852;nm0736778
tt0024852;nm0576940
tt0024902;nm0102908
tt0024966;nm0890574
tt0024966;nm0890567
tt0025028;nm0000923
tt0025028;nm0258015
tt0025164;nm0762263
tt0025318;nm0572851
tt0025410;nm0355284
tt0025440;nm0102908
tt0025455;nm0102908
tt0025464;nm0886754
tt0025464;nm0176699
tt0025464;nm0002030
tt0025699;nm0292134
tt0025746;nm0903049
tt0025862;nm0176699
tt0025862;nm0570985
tt0025862;nm0316539
tt0025898;nm0719756
tt0025913;nm0726166
tt0025929;nm0654868
tt0026029;nm0000033
tt0026104;nm0541149
tt0026267;nm0102908
tt0026424;nm0943758
tt0026529;nm0000406
tt0026725;nm0092915
tt0027075;nm0176699
tt0027075;nm0502752
tt0027118;nm0654868
tt0027214;nm0000406
tt0027307;nm0793646
tt0027336;nm0719756
tt0027342;nm0245213
tt0027438;nm0002031
tt0027441;nm0401680
tt0027442;nm0928781
tt0027478;nm0719756
tt0027532;nm0943758
tt0027652;nm0000485
tt0027657;nm0092915
tt0027672;nm0003226
tt0027914;nm0886754
tt0027977;nm0000122
tt0028021;nm0003226
tt0028070;nm0480046
tt0028096;nm0562845
tt0028141;nm0000406
tt0028167;nm0466099
tt0028212;nm0000033
tt0028216;nm0886754
tt0028249;nm0001843
tt0028313;nm0226189
tt0028315;nm0782682
tt0028333;nm0828419
tt0028346;nm0309163
tt0028355;nm0092915
tt0028356;nm0943758
tt0028575;nm0523932
tt0028683;nm0002030
tt0028708;nm0401680
tt0028737;nm0562004
tt0028772;nm0939992
tt0028773;nm0943758
tt0028816;nm0500552
tt0028944;nm0281808
tt0028944;nm0939992
tt0028944;nm0532561
tt0028944;nm0291548
tt0028988;nm0245385
tt0029146;nm0226189
tt0029192;nm0564970
tt0029217;nm0002031
tt0029217;nm0045800
tt0029284;nm0437717
tt0029310;nm0861703
tt0029314;nm0945537
tt0029440;nm0226189
tt0029440;nm0445033
tt0029442;nm0886754
tt0029442;nm0188669
tt0029608;nm0896542
tt0029658;nm0503777
tt0029747;nm0395023
tt0029844;nm0851537
tt0029850;nm0001178
tt0029850;nm0890565
tt0029942;nm0851537
tt0029947;nm0001328
tt0029957;nm0719756
tt0029995;nm0896542
tt0030044;nm0332539
tt0030127;nm0656528
