movie;writer;director
tt0003740;nm0195339;nm0665163
tt0003740;nm0515385;nm0665163
tt0003740;nm0665163;nm0665163
tt0003740;nm0758215;nm0665163
tt0008663;nm0406585;nm0803705
tt0008663;nm0596410;nm0803705
tt0008663;nm0803705;nm0803705
tt0009369;nm0215874;nm0428059
tt0009369;nm0215874;nm0949648
tt0009369;nm0370271;nm0428059
tt0009369;nm0370271;nm0949648
tt0010307;nm0304098;nm0304098
tt0010600;nm0006782;nm0523932
tt0010600;nm0473134;nm0523932
tt0010600;nm0523932;nm0523932
tt0010600;nm0932559;nm0523932
tt0011439;nm0191547;nm0629243
tt0011439;nm0001196;nm0629243
tt0011439;nm1491939;nm0629243
tt0011607;nm0003433;nm0003433
tt0011607;nm0418114;nm0003433
tt0011841;nm0662461;nm0000428
tt0011841;nm0103755;nm0000428
tt0011841;nm0342604;nm0000428
tt0011841;nm0446189;nm0000428
tt0011841;nm0000428;nm0000428
tt0012349;nm0000122;nm0000122
tt0012494;nm0000485;nm0000485
tt0012494;nm0902376;nm0000485
tt0012532;nm0257866;nm0000428
tt0012532;nm0180077;nm0000428
tt0012532;nm0000428;nm0000428
tt0013257;nm0159725;nm0159725
tt0013556;nm0001196;nm0245385
tt0013556;nm0202617;nm0245385
tt0013556;nm0245385;nm0245385
tt0013556;nm0461241;nm0245385
tt0013556;nm0940689;nm0245385
tt0013933;nm0258477;nm0258477
tt0013933;nm0258506;nm0258477
tt0014109;nm0405147;nm0830249
tt0014109;nm0481248;nm0830249
tt0014109;nm0830249;nm0830249
tt0014142;nm0401076;nm0941637
tt0014142;nm0790622;nm0941637
tt0014142;nm0522871;nm0941637
tt0014142;nm0730929;nm0941637
tt0014341;nm0369841;nm0090007
tt0014341;nm0369841;nm0000036
tt0014341;nm0115669;nm0090007
tt0014341;nm0115669;nm0000036
tt0014341;nm0593477;nm0090007
tt0014341;nm0593477;nm0000036
tt0014358;nm0000122;nm0000122
tt0014429;nm0730018;nm0628345
tt0014429;nm0730018;nm0853130
tt0014429;nm0853130;nm0628345
tt0014429;nm0853130;nm0853130
tt0014429;nm0924065;nm0628345
tt0014429;nm0924065;nm0853130
tt0014429;nm0907778;nm0628345
tt0014429;nm0907778;nm0853130
tt0014429;nm0369841;nm0628345
tt0014429;nm0369841;nm0853130
tt0014429;nm0516001;nm0628345
tt0014429;nm0516001;nm0853130
tt0014538;nm0115669;nm0000036
tt0014538;nm0115669;nm0166836
tt0014538;nm0593477;nm0000036
tt0014538;nm0593477;nm0166836
tt0014538;nm0369841;nm0000036
tt0014538;nm0369841;nm0166836
tt0014538;nm0000036;nm0000036
tt0014538;nm0000036;nm0166836
tt0014611;nm0853130;nm0628345
tt0014611;nm0853130;nm0853130
tt0014611;nm0928514;nm0628345
tt0014611;nm0928514;nm0853130
tt0014611;nm0924065;nm0628345
tt0014611;nm0924065;nm0853130
tt0014611;nm0907778;nm0628345
tt0014611;nm0907778;nm0853130
tt0014945;nm0853130;nm0853130
tt0014945;nm0853130;nm0628345
tt0014945;nm0928514;nm0853130
tt0014945;nm0928514;nm0628345
tt0014945;nm0924065;nm0853130
tt0014945;nm0924065;nm0628345
tt0014945;nm0336984;nm0853130
tt0014945;nm0336984;nm0628345
tt0014945;nm0516001;nm0853130
tt0014945;nm0516001;nm0628345
tt0014972;nm0028916;nm0803705
tt0014972;nm0933133;nm0803705
tt0014972;nm0803705;nm0803705
tt0014972;nm0014703;nm0803705
tt0015016;nm0448981;nm0000406
tt0015016;nm0751246;nm0000406
tt0015016;nm0201544;nm0000406
tt0015064;nm0562346;nm0003638
tt0015163;nm0115669;nm0187981
tt0015163;nm0115669;nm0000036
tt0015163;nm0593477;nm0187981
tt0015163;nm0593477;nm0000036
tt0015163;nm0369841;nm0187981
tt0015163;nm0369841;nm0000036
tt0015174;nm0902376;nm0000485
tt0015175;nm0000485;nm0000485
tt0015175;nm0902376;nm0000485
tt0015214;nm0163229;nm0163229
tt0015224;nm0057381;nm0107543
tt0015224;nm0325135;nm0107543
tt0015361;nm0017893;nm0001178
tt0015361;nm0001178;nm0001178
tt0015361;nm0470402;nm0001178
tt0015361;nm0687244;nm0001178
tt0015400;nm0940689;nm0909825
tt0015400;nm0001196;nm0909825
tt0015400;nm0008280;nm0909825
tt0015400;nm0640884;nm0909825
tt0015841;nm0853130;nm0628345
tt0015841;nm0853130;nm0853130
tt0015841;nm0928514;nm0628345
tt0015841;nm0928514;nm0853130
tt0015841;nm0340599;nm0628345
tt0015841;nm0340599;nm0853130
tt0015841;nm0924065;nm0628345
tt0015841;nm0924065;nm0853130
tt0015841;nm0336984;nm0628345
tt0015841;nm0336984;nm0853130
tt0015841;nm0516001;nm0628345
tt0015841;nm0516001;nm0853130
tt0015842;nm0079278;nm0655065
tt0015842;nm0352026;nm0655065
tt0015842;nm1680388;nm0655065
tt0015863;nm0000036;nm0000036
tt0015863;nm0623640;nm0000036
tt0015863;nm0134252;nm0000036
tt0015864;nm0000122;nm0000122
tt0015881;nm0558923;nm0002233
tt0015881;nm0002233;nm0002233
tt0015881;nm0635805;nm0002233
tt0015881;nm0267868;nm0002233
tt0016029;nm0175902;nm0124877
tt0016029;nm0426531;nm0124877
tt0016029;nm0124877;nm0124877
tt0016220;nm0503693;nm0432216
tt0016220;nm0503693;nm0151606
tt0016220;nm0503693;nm0480677
tt0016220;nm0503693;nm0781292
tt0016220;nm0031033;nm0432216
tt0016220;nm0031033;nm0151606
tt0016220;nm0031033;nm0480677
tt0016220;nm0031033;nm0781292
tt0016220;nm0165470;nm0432216
tt0016220;nm0165470;nm0151606
tt0016220;nm0165470;nm0480677
tt0016220;nm0165470;nm0781292
tt0016220;nm0566338;nm0432216
tt0016220;nm0566338;nm0151606
tt0016220;nm0566338;nm0480677
tt0016220;nm0566338;nm0781292
tt0016220;nm0566439;nm0432216
tt0016220;nm0566439;nm0151606
tt0016220;nm0566439;nm0480677
tt0016220;nm0566439;nm0781292
tt0016220;nm0715723;nm0432216
tt0016220;nm0715723;nm0151606
tt0016220;nm0715723;nm0480677
tt0016220;nm0715723;nm0781292
tt0016220;nm0775419;nm0432216
tt0016220;nm0775419;nm0151606
tt0016220;nm0775419;nm0480677
tt0016220;nm0775419;nm0781292
tt0016220;nm0908831;nm0432216
tt0016220;nm0908831;nm0151606
tt0016220;nm0908831;nm0480677
tt0016220;nm0908831;nm0781292
tt0016220;nm1541473;nm0432216
tt0016220;nm1541473;nm0151606
tt0016220;nm1541473;nm0480677
tt0016220;nm1541473;nm0781292
tt0016332;nm0576362;nm0000036
tt0016332;nm0115669;nm0000036
tt0016332;nm0369841;nm0000036
tt0016332;nm0593477;nm0000036
